Paper No.,PCE max (%),VOC (V),JSC (mA/cm2),FF (%),"For VOC, JSC and FF, when only average values were available instead of actual values of the best devices, the average values were listed. These data were mainly obtained from tables and the main text of articles. Some data were from the supplymentary materials."
242,9.18,0.93,15.31,64.38,
242,8.74,0.92,15.2,62.36,
242,8.24,0.91,15.11,59.45,
243,6.23,0.84,11.76,63,
243,4.74,0.83,10.32,55,
244,13.1,0.852,21.9,69.8,
244,11.9,0.837,20.7,68.4,
244,11.2,0.839,20,66.8,
245,5.8,0.84,12.94,53.4,
245,3.69,0.85,9.89,43.9,
246,1.86,1.06,6.11,28,
246,1.51,1.15,4.8,28,
246,2.26,1.09,6.35,33,
246,2.23,1.11,6.35,32,
246,2.16,1.11,6.02,32,
246,1.88,1.08,5.55,31,
246,1.74,1.09,4.93,32,
246,2.78,1.14,7.47,33,
246,2.17,1.11,6.42,31,
246,2.74,1.08,6.86,37,
246,2.2,1.04,6.37,33,
246,2.05,1.14,6.16,29,
246,1.74,1.09,5.2,31,
250,10.75,0.91,18.9,62.51,
250,11.07,0.93,20.73,57.45,
250,10.39,0.94,19.17,57.64,
250,9.34,0.92,17.45,58.46,
250,10.29,0.89,18.1,63.88,
250,10.39,0.92,19.67,57.43,
252,12.7,0.85,19.74,76,
252,10.9,0.79,19.7,70.5,
255,9.95,0.97,14.86,69,
257,10.02,0.92,17.42,62.5,
260,14.1,0.88,22.8,70.2,
260,14,0.87,22.6,71.4,
260,13.1,0.89,21.2,69.6,
260,11,0.9,21.1,58.3,
261,0.64,0.8,2.14,37,
261,0.91,0.81,3.12,36,
270,14.04,0.941,19.06,78.32,
270,13.54,0.929,18.91,77.1,
270,12.02,0.947,18.17,69.88,
270,13.23,0.952,18.1,76.83,
270,11.5,0.822,18.08,77.42,
270,11.9,0.97,17.8,69,
270,11.28,0.935,17.71,68.16,
270,10.41,0.819,17.27,73.6,
270,6.14,0.869,12.2,57.9,
271,12.08,0.8,20.44,73.87,
271,10.53,0.82,19.06,67.38,
271,8.42,0.83,17.58,57.71,
271,6,0.84,14.92,47.87,
273,9.22,0.861,15.99,67,
273,2.85,0.958,7.78,38.2,
273,9.35,0.857,16.13,67.7,
273,10.53,0.865,17.31,70.3,
273,8.87,0.868,15.59,65.6,
273,8.63,0.876,15.46,63.7,
273,6.41,0.892,13.3,54.1,
280,11.66,0.803,19.58,74.2,
280,13.25,0.91,18.48,78.8,
280,12.05,1.015,16.74,70.9,
282,12.1,0.79,20.76,73.5,
282,9.3,0.758,19.5,63.2,
282,1.33,0.495,7.41,36.3,
282,8.04,0.779,18.62,55.4,
287,6.15,0.95,12.27,53,
287,4.61,0.93,11.5,43,
294,9.86,0.76,20.04,65,
294,8.23,0.86,16.39,58,
296,11.1,0.94,17.1,62.8,
296,1.1,0.92,3.2,33.5,
296,10.9,0.92,17.3,68.4,
296,10.4,0.94,16.7,66.1,
297,1.62,0.55,5.07,47.41,
297,1.38,0.59,4.43,42.59,
297,2,1.18,3.71,39.19,
297,0.99,0.61,3.31,39.93,
297,0.88,0.58,3.06,40.19,
297,1.1,1.03,2.65,34.47,
297,0.78,1.08,1.88,32.78,
297,0.75,1.1,1.86,31.46,
297,0.65,1.08,1.58,32.59,
297,0.72,1.17,1.56,31.9,
297,0.72,1.17,1.53,32.43,
297,0.2,1.16,0.52,26.52,
304,8.96,0.758,23.54,50.07,
304,11.12,0.745,22.71,65.58,
304,11.8,0.744,23.52,67.28,
304,12.52,0.75,24.58,67.58,
306,8.1,0.887,14.2,65.9,
306,7.6,0.898,13.57,62,
306,5.5,0.687,13.52,58.7,
308,0.71,1.07,2.29,24.5,
308,1.61,1.09,5.43,27.1,
308,0.71,1.05,2.7,25.4,
308,3.85,1.03,10,37.3,
308,3.64,1.04,9.51,36.7,
308,3.08,1.05,8.81,33.3,
308,2.33,1.03,6.93,32.5,
308,1.77,1.01,5.3,33,
308,1.59,1.13,5.54,25.5,
323,7.15,0.85,13.35,63,
323,5.4,0.85,10.25,62,
323,3.68,0.87,8.39,50,
325,10.77,0.891,17.748,68.14,
325,8.55,0.896,15.5,61.63,
325,6.86,0.848,15.18,53.27,
325,5.19,0.742,15.161,46.1,
325,3.47,0.677,12.825,39.95,
328,5.95,0.94,11.72,54,
328,5.81,0.94,11.24,55,
328,2.86,0.96,7.26,41,
329,4.23,0.81,10.92,38,
329,3.55,0.77,10.57,37,
329,2.83,0.81,8.25,34,
329,2.02,0.77,6.68,32,
329,1.94,0.77,6.6,33,
329,2.23,0.84,5.22,43,
329,1.67,0.81,4.29,39,
329,1.21,0.77,4.04,33,
329,0.88,0.78,3.29,29,
329,1.49,0.86,3.24,46,
330,8.35,0.88,14.83,64,
330,5.35,0.84,12.51,51.4,
330,3.1,0.81,10.54,36.2,
330,1.95,0.78,7.69,32.5,
332,11,0.925,18.88,63,
332,10.6,0.911,17.9,65.3,
332,9.55,0.94,16.55,61.4,
332,8.54,0.921,16.45,56.4,
333,10.1,0.73,21.28,65,
333,9.52,0.77,18.46,67,
339,9.77,0.89,17.38,61.06,
339,2.62,0.85,7.41,40.88,
339,9.34,0.88,16.39,63.9,
339,8.37,0.9,15.06,61.6,
340,5.51,1.01,9.75,55.97,
340,5.16,1.01,9.34,54.68,
340,0.11,1.05,0.4,25.88,
340,6.33,1.04,9.88,61.63,
340,5.36,1.03,9.62,54.1,
340,5.91,1.03,9.5,60.43,
340,5.81,1.03,9.33,60.49,
340,5.83,1.04,9.23,60.74,
340,5.31,1.03,8.77,58.79,
340,5.32,1.02,8.73,59.77,
340,5.17,1.03,8.61,58.32,
340,4.6,1.03,8.53,52.33,
340,5.04,1.06,8.51,55.86,
340,4.86,1.02,8.36,57.02,
340,4.23,1.08,7.13,54.97,
340,3.63,1.05,6.44,53.7,
340,0.15,1.06,0.55,25.65,
341,11.04,0.879,17.28,72.7,
348,10.27,0.89,17.24,67,
348,8.57,0.81,16.09,66,
348,9.3,0.87,16.58,65,
348,9.03,0.88,16.71,62,
350,6.6,0.71,17.5,54,
350,4.5,0.57,15.3,51,
350,7.8,0.81,16.5,59,
350,13.3,0.83,21.8,73,
350,13.4,0.84,21.7,74,
350,10.1,0.76,21.5,62,
350,11.5,0.91,18.3,69,
350,11.4,0.81,22.2,64,
350,14,0.86,22.3,73,
351,6.7,0.8,14.7,57.18,
351,6.61,0.82,13.85,58.16,
351,7.21,0.82,15.34,57.35,
351,7.02,0.82,14.19,60.34,
351,8.1,0.78,15.72,66.41,
351,9.01,0.78,18.52,62.4,
351,8.54,0.76,19.13,58.77,
351,8.2,0.76,18.63,57.9,
351,7.67,0.767,15.52,64.9,
353,10.89,0.97,16.05,68.78,
353,11.15,0.97,16.57,69.37,
353,10.84,0.97,16.23,68.29,
353,10.6,0.97,16.15,67.61,
353,9.76,0.99,15.25,64.78,
353,9.65,1.06,15.25,59.31,
353,9.4,1.06,15.03,58.53,
353,9.37,1.06,14.96,59.37,
353,9.25,1.06,14.87,58.37,
353,8.72,1.08,14.33,56.43,
356,8.1,0.842,14.1,68.2,
356,7.8,0.895,13.6,64.1,
363,9.66,0.695,19.8,70.2,
363,9.1,0.69,19.2,68.7,
363,8.14,0.679,18.5,64.8,
363,3.7,0.844,7.4,59.2,
370,1.26,0.91,4.13,33,
370,1.25,0.94,3.75,36,
378,16.02,0.81,26.68,74.11,
378,1.09,0.78,3.2,43.78,
380,11.74,0.77,23.82,64,
380,13.84,0.89,21.9,71,
380,10.03,0.73,19.36,71,
380,4.62,0.79,9.13,64,
381,10.21,0.9,19.54,58,
381,4.11,0.88,10.24,46,
383,9.97,0.87,17.01,67.34,
383,10.01,0.89,16.61,67.71,
383,9.09,0.89,15.67,65.17,
383,0.85,0.16,12.67,42.09,
384,7.69,1.05,11.83,62,
384,6.65,0.99,11.6,58,
384,8,1.2,11.11,60,
386,9.1,0.74,17.6,70.1,
386,8.6,0.74,16.6,69.9,
386,7.9,0.74,15.5,68.8,
386,9.8,0.75,17.9,72.5,
386,11.1,0.76,19.7,73.9,
386,9.9,0.76,18.6,70.5,
397,5.01,1.02,9,54.6,
397,3.53,1.04,6.67,52.5,
399,7.41,0.87,12.71,67,
399,5.54,0.96,10.59,54.5,
399,6.07,0.99,10.3,60.1,
399,3.11,1.06,6.82,42.6,
401,11.98,0.97,18,70,
401,12.12,0.93,18.1,72,
401,10.24,0.84,17.78,69,
401,11.02,0.97,16.72,68,
401,9.22,0.88,16.37,64,
404,0.01,0.65,0.51,30.2,
404,0.82,0.766,3.28,32,
404,6.53,0.867,14.23,53,
404,6.3,0.866,13.18,55.2,
404,3.96,0.823,8.47,56.8,
404,6.54,0.869,14.09,53.8,
404,6.55,0.869,14,53.8,
404,6.56,0.865,14.25,53.2,
404,8.2,0.827,18.57,53.4,
404,7.56,0.816,17.98,51.5,
405,6.46,0.9,14.13,50,
405,4.94,0.89,9.1,61,
406,9.19,0.77,17.54,68,
406,8.47,0.79,15.62,68.4,
406,9.43,0.9,15.1,69.6,
406,7.92,0.87,13.35,68.3,
408,6.62,1,12.07,55,
408,5.78,1,10.19,57,
408,4.55,1.01,7.67,59,
409,13.5,0.83,23.24,70,
409,10.58,0.81,22.92,57,
413,3.8,0.77,10.51,47,
413,4.69,0.87,10.06,53.62,
414,9.5,0.86,17.9,61.3,
414,7.3,0.91,13.3,60.5,
414,6.5,0.89,12.3,59,
414,8.4,0.82,17.7,58,
415,7.75,0.89,14.74,59.16,
415,8.96,1.04,13.75,62.76,
415,8.57,1.02,13.75,60.81,
415,7.09,1.1,12.04,53.67,
419,6.67,0.819,16.28,50.1,
419,5.76,0.838,14.81,46.4,
421,10,0.91,15.9,69,
421,9.4,0.9,15.4,68,
421,4.4,1,8.5,52,
421,3.9,0.98,8.2,49,
424,13.46,0.89,21.21,71.55,
424,11.37,0.92,19.76,62.57,
428,2.8,0.48,10.54,56,
428,6.24,0.71,13.96,63,
